Sample	Se_axen_d4_1	Se_axen_d4_2	Se_axen_d4_3	Se_axen_d6_1	Se_axen_d6_2	Se_axen_d6_3	Se_axen_d8_1	Se_axen_d8_2	Se_axen_d8_3
CPD-347	714144.0	700724	721740.0	716946.0	646895	644933	619573.0	663732	605216
3-hydroxybenzoate	16434.0	17569	13686.0	16030.0	14742	9837	20749.0	13353	10548
4-hydroxybenzoate	7752.0	9428	1627.0	7854.0	4664	6622	11640.0	7383	6890
Arsenate	12046.0	4441	6304.0	5271.0	14655	8920	5925.0	16102	6587
Benzoate	180066.0	174935	231646.0	119777.0	221331	178852	126256.0	190931	174184
3,4-Dihydroxy-trans-cinnamate	11030.0	4011	2565.0	7410.0	7941	3748	4920.0	4584	3053
BETA-D-FRUCTOSE	124381.0	93724	80393.0	125118.0	164866	141411	133817.0	139419	173091
D-Glucose	56498.0	49068	42584.0	75035.0	110756	87068	90626.0	92751	71536
D-Ribofuranose	75989.0	138700	164408.0	74428.0	401538	189008	216196.0	304384	263933
XYLITOL	19418.0	13836	15080.0	63231.0	52349	38021	64850.0	60267	81912
Ethanolamine	49213.0	17538	24436.0	37997.0	82177	86434	8289.0	63842	114816
Glycolate	255946.0	284357	280414.0	268733.0	262817	261128	248783.0	274673	264022
HYDROQUINONE	16062.0	13695	8679.0	11273.0	10529	7025	15586.0	10855	5960
D-Lactate	944304.0	635818	489828.0	631735.0	430746	606653	599240.0	509219	473392
L-Malate	29793.0	26757	26943.0	24954.0	50557	27336	22037.0	32882	29402
Maltose	198169.0	227041	274229.0	256198.0	579847	308892	366701.0	623370	502111
Myo-Inositol	97345.0	106748	92793.0	54505.0	95132	58571	37242.0	82386	57899
Oxalate	28120.0	10503	14601.0	17830.0	27602	14490	16670.0	23866	18716
PALMITATE	125665.0	70638	124312.0	77060.0	134576	98602	99935.0	180548	112208
Pi	1493913.0	1061130	1299925.0	786971.0	1649458	1292554	1187428.0	1412582	1587384
QUINATE	14478.0	11240	10202.0	10728.0	15027	7545	15688.0	15001	9957
Octadecanoate	60945.0	65866	72092.0	46250.0	96564	48076	46297.0	141805	109120
SUCROSE	216402623.0	186768919	200938562.0	209296716.0	248798568	207329930	226721805.0	246981451	222409804
Thymine	67137.0	36118	147178.0	63431.0	84313	72220	59968.5	106957	60362
L-Alanine	237732.0	205023	244021.0	357335.0	535154	404449	554910.0	468241	545044
VAL	142060.0	123544	143040.0	269888.0	287101	249317	373373.0	289250	350909
L-Leucine	205629.0	178226	206600.0	400690.0	430346	388078	443301.0	428647	431127
L-Isoleucine	406553.0	355472	363047.0	689659.0	760030	639461	732424.0	792553	685940
PRO	55458.0	52336	64269.0	132294.0	184207	133411	151686.0	153926	158516
Glycerol	8507.0	7618	8125.0	19626.0	22037	19044	23466.0	20872	20747
L-Methionine	25067.0	110770	25812.0	55648.0	90532	58841	69210.0	66093	65330
SER	54038.0	45965	57383.0	88523.0	180019	110507	130184.0	129094	136446
L-Threonine	57960.0	49558	59757.0	96808.0	190981	126163	133192.0	134281	131056
PHE	70948.0	61483	72978.0	168798.0	230001	179412	176033.0	168742	170500
2-Oxoglutarate	14638.0	9236	11097.0	7699.0	10604	8240	36039.0	22241	17588
L-Glutamate	147063.0	128040	155576.0	332603.0	444126	346077	344444.0	334987	358730
L-Asparagine	90941.0	71459	100817.0	208524.0	347396	216782	200529.0	201389	220414
L-Lysine	3772.0	3291	18946.0	3937.0	16398	9820	11685.0	13510	13817
L-Glutamine	10953.0	17761	22835.0	6161.0	14192	14530	61610.0	95109	144886
HIS	3715.0	3689	6520.0	11887.0	27237	16163	18904.0	21438	32093
L-Tyrosine	80374.0	75212	88292.0	149147.0	302125	220922	230114.0	227830	252434
L-Tryptophan	883.0	971	1003.0	2961.0	16114	18226	6865.0	34998	7523
