Sample,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3
13ppd,714144,700724,721740,716946,646895,644933,619573,663732,605216
3hbz,16434,17569,13686,16030,14742,9837,20749,13353,10548
4hbz,7752,9428,1627,7854,4664,6622,11640,7383,6890
aso4,12046,4441,6304,5271,14655,8920,5925,16102,6587
bz,180066,174935,231646,119777,221331,178852,126256,190931,174184
34dhcinm,11030,4011,2565,7410,7941,3748,4920,4584,3053
fru,124381,93724,80393,125118,164866,141411,133817,139419,173091
glc__D,56498,49068,42584,75035,110756,87068,90626,92751,71536
rib__D,75989,138700,164408,74428,401538,189008,216196,304384,263933
xylt,19418,13836,15080,63231,52349,38021,64850,60267,81912
etham,49213,17538,24436,37997,82177,86434,8289,63842,114816
glyclt,255946,284357,280414,268733,262817,261128,248783,274673,264022
hqn,16062,13695,8679,11273,10529,7025,15586,10855,5960
lac__D,944304,635818,489828,631735,430746,606653,599240,509219,473392
mal__L,29793,26757,26943,24954,50557,27336,22037,32882,29402
malt,198169,227041,274229,256198,579847,308892,366701,623370,502111
inost,97345,106748,92793,54505,95132,58571,37242,82386,57899
oxa,28120,10503,14601,17830,27602,14490,16670,23866,18716
hdca,125665,70638,124312,77060,134576,98602,99935,180548,112208
pi,1493913,1061130,1299925,786971,1649458,1292554,1187428,1412582,1587384
quin,14478,11240,10202,10728,15027,7545,15688,15001,9957
ocdca,60945,65866,72092,46250,96564,48076,46297,141805,109120
sucr,"216,402,623","186,768,919","200,938,562","209,296,716","248,798,568","207,329,930","226,721,805","246,981,451","222,409,804"
thym,67137,36118,147178,63431,84313,72220,59968.5,106957,60362
ala__L,237732,205023,244021,357335,535154,404449,554910,468241,545044
val__L,142060,123544,143040,269888,287101,249317,373373,289250,350909
leu__L,205629,178226,206600,400690,430346,388078,443301,428647,431127
ile__L,406553,355472,363047,689659,760030,639461,732424,792553,685940
pro__L,55458,52336,64269,132294,184207,133411,151686,153926,158516
glyc,8507,7618,8125,19626,22037,19044,23466,20872,20747
met__L,25067,110770,25812,55648,90532,58841,69210,66093,65330
ser__L,54038,45965,57383,88523,180019,110507,130184,129094,136446
thr__L,57960,49558,59757,96808,190981,126163,133192,134281,131056
phe__L,70948,61483,72978,168798,230001,179412,176033,168742,170500
akg,14638,9236,11097,7699,10604,8240,36039,22241,17588
glu__L,147063,128040,155576,332603,444126,346077,344444,334987,358730
asn__L,90941,71459,100817,208524,347396,216782,200529,201389,220414
lys__L,3772,3291,18946,3937,16398,9820,11685,13510,13817
gln__L,10953,17761,22835,6161,14192,14530,61610,95109,144886
his__L,3715,3689,6520,11887,27237,16163,18904,21438,32093
tyr__L,80374,75212,88292,149147,302125,220922,230114,227830,252434
trp__L,883,971,1003,2961,16114,18226,6865,34998,7523
